Vrsta,Područje,Lokacija,Cijena,Spavaćih Soba,Kupatila,Stambena Površina,Parking Mjesta,Od Mora (m),Opis,Oglasio,Država oglašivača,Mobitel,Telefon,Oglas Broj,Postavljeno,Zadnja Promjena,Tags
Stan-Apartman za Duži Najam,Bar,Bar Centar,€320,1,1,35 m2,20,150,BAR,WELLNEKRETNINE(klikni Ovje) Ovdje/,ME,+38267960504/VIBER/,+38269560504/vibeOglas Broj: 3223224,3223224,"23 Feb, 2024","10 Apr, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€450,1,1,47 m2,"Izdajem jednosoban stan površine 47m2 na četvrtom spratu stambene zgrade u centru grada. Stan se sastoji od dnevnog boravka, kuhinje, spavaće sobe, hodnika, kupatila i terase. U potpunosti je opremljen. Zgrada posjeduje lift.",,//maps.app.goo.gl/dkwrDyye5EAEWRJh9,Albatros Real Estate,ME,+38269402664,+38268227277Oglas Broj: 3258467,3258467,"31 Mar, 2024","2 Apr, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€700,2,1,75 m2,1,400,"Izdaje se na duzij perio stan sa 2 spavace soba, 1 wc, 1 kupatilom u samom centru grada.",Viktorija MILESTONE,ME,+38269223656Oglas Broj: 3250460,3250460,"25 Mar, 2024","25 Mar, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€700,2,2,74 m2,Izdajem dvosoban stan u strogom centru grada na duži vremenski period. Kontakt 068 614 144,Sanja,MEOglas Broj: 3215109,3215109,"14 Feb, 2024","16 Mar, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€700,1,1,50 m2,900,#сдам #квартиру #Бар,Marijana,ME,+38269744016Oglas Broj: 3267589,3267589,"11 Apr, 2024","11 Apr, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Poslovni Prostor za Duži Najam,Bar,Bar Centar,€1.300,"Za izdavanje poslovni prostor 115m2, Bar, Centar grada.","Ulazni hodnik, mini kuhinja, kupatilo i šest odvojenih prostorija.",dom-home.me/me/poslovni-prostor/783...,DOM-HOME,ME,"IZDAVANJE: Goran: +382 67 822 822; Nemanja: +382 67 316 018; Savo: +382 67 316 009, PRODAJA: Goran: +382 67 822 822; ; Savo: +382 67 316 009; POSLOVNICA BAR: Slobodan: +382 67 316 008; web site: www.dom-home.me; mail: office@dom-home.me; We're multi language speaking stuff +382 67 822 822, contact us on @, Viber, WhatsApp, Facebook, Instagram and visit our offices and our site.Oglas Broj: 3266798",3266798,"11 Apr, 2024","11 Apr, 2024",Duzi Najam Bar Centar | Duzi Najam Poslovnih Prostora Bar Centar | Duzi Najam Bar | Duzi Najam Poslovnih Prostora Bar
Stan-Apartman za Duži Najam,Bar,Bar Centar,€600,1,37 m2,"Godisnje izdavanje luksuznog, potpuno novog studio apartmana koji se nalazi u srcu Bara - Soho City kompleksu. Studio apartman ima savrsen enterijer, upotpunjen luksuznim namestajem i najkvalitetnijom tehnikom.","prostrani dnevni boravak sa kuhinjom, hodnik, kupatilo, terasa sa pogledom na more i Hram.","prva kirija, dve poslednje + depozit u visini kirije.",Victoria Royal Group,ME,068151181,068766165Oglas Broj: 3266437,3266437,"10 Apr, 2024","11 Apr, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€600,2,1,58 m2,Izdavanje dvosobnog namjestenog stana povrsine 58m2 u centru Bara (zgrada Tri kule).,Maja,ME,38267639562Oglas Broj: 3266475,3266475,"10 Apr, 2024","10 Apr, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€300,1,1,35 m2,100,Izdajem opremljen jednosoban stan 35 m2 u strogom centru grada. Stan se izdaje na duzi vremenski period ( minimum 1 godina) zakup 300 e mesecno. Vise info na tel 069 495 743,Biljana,ME,069495743,069495743Oglas Broj: 3263884,3263884,"8 Apr, 2024","11 Apr, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€950,3,2,100 m2,100,#сдам #квартиру #Бар,Marijana,ME,+38269744016Oglas Broj: 3262319,3262319,"5 Apr, 2024","5 Apr, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€700,2021,1,1,47 m2,"Izdajem opremljen jednosoban stan, u novoj zgradi. Izdavanje na duzi vremenski period, zakup 700 e. Vise info na tel 069 495 743",Biljana,ME,069495743,069495743Oglas Broj: 3256590,3256590,"28 Mar, 2024","11 Apr, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€500,1,1,56 m2,Izdaje se opremljen jednosoban stan povrsine 56 m2 u strogom centru. Cena zakupa 500 e. Vise info na tel 069 495 743,Biljana,ME,069495743,069495743Oglas Broj: 3245206,3245206,"20 Mar, 2024","11 Apr, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€700,1,1,54 m2,1000,#сдаётся #квартира #Бар,Marijana,ME,+38269744016Oglas Broj: 3257337,3257337,"29 Mar, 2024","29 Mar, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€800,Za izdavanje dvosoban lux stan površine 63m2 u centru Bara.,"ulazni hodnik, dnevna soba, kuhinja i trpezarija, dvije spavaće sobe, kupatilo i gostinjski toalet.",dom-home.me/me/stan/8142/bar/,DOM-HOME,ME,"IZDAVANJE: Goran: +382 67 822 822; Nemanja: +382 67 316 018; Savo: +382 67 316 009, PRODAJA: Goran: +382 67 822 822; ; Savo: +382 67 316 009; POSLOVNICA BAR: Slobodan: +382 67 316 008; web site: www.dom-home.me; mail: office@dom-home.me; We're multi language speaking stuff +382 67 822 822, contact us on @, Viber, WhatsApp, Facebook, Instagram and visit our offices and our site.Oglas Broj: 3255646",3255646,"28 Mar, 2024","28 Mar, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Poslovni Prostor za Duži Najam,Bar,Bar Centar,€1.300,"Za izdavanje poslovni prostor 115m2, Bar, Centar grada.","Ulazni hodnik, mini kuhinja, kupatilo i šest odvojenih prostorija.",dom-home.me/me/poslovni-prostor/783...,DOM-HOME,ME,"IZDAVANJE: Goran: +382 67 822 822; Nemanja: +382 67 316 018; Savo: +382 67 316 009, PRODAJA: Goran: +382 67 822 822; ; Savo: +382 67 316 009; POSLOVNICA BAR: Slobodan: +382 67 316 008; web site: www.dom-home.me; mail: office@dom-home.me; We're multi language speaking stuff +382 67 822 822, contact us on @, Viber, WhatsApp, Facebook, Instagram and visit our offices and our site.Oglas Broj: 3254819",3254819,"27 Mar, 2024","27 Mar, 2024",Duzi Najam Bar Centar | Duzi Najam Poslovnih Prostora Bar Centar | Duzi Najam Bar | Duzi Najam Poslovnih Prostora Bar
Poslovni Prostor za Duži Najam,Bar,Bar Centar,"Za izdavanje poslovni prostor 22m2 + 33m2, Bar.",dom-home.me/me/poslovni-prostor/847...,DOM-HOME,ME,"IZDAVANJE: Goran: +382 67 822 822; Nemanja: +382 67 316 018; Savo: +382 67 316 009, PRODAJA: Goran: +382 67 822 822; ; Savo: +382 67 316 009; POSLOVNICA BAR: Slobodan: +382 67 316 008; web site: www.dom-home.me; mail: office@dom-home.me; We're multi language speaking stuff +382 67 822 822, contact us on @, Viber, WhatsApp, Facebook, Instagram and visit our offices and our site.Oglas Broj: 3251159",3251159,"25 Mar, 2024","25 Mar, 2024",Duzi Najam Bar Centar | Duzi Najam Poslovnih Prostora Bar Centar | Duzi Najam Bar | Duzi Najam Poslovnih Prostora Bar
Stan-Apartman za Duži Najam,Bar,Bar Centar,€500,1,1,49 m2,700,#сдам #квартиру #Бар,Marijana,ME,+38269744016Oglas Broj: 3246785,3246785,"21 Mar, 2024","21 Mar, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€500,1,1,48 m2,"Izdavanje jednosobnog namjestenog stana povrsine 48m2 (dodatno terasa) u Baru, Bjeliši (u blizini Lakovića).",Maja,ME,38267639562Oglas Broj: 3245459,3245459,"20 Mar, 2024","20 Mar, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€450,1,1,45 m2,400,#сдам #квартиру #Бар,Marijana,ME,+38269744016Oglas Broj: 3241692,3241692,"16 Mar, 2024","16 Mar, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€450,1,1,51 m2,"Izdavanje namještenog jednosobnog stana površine 51m2 u centru Bara, Lamele.",Maja,ME,38267639562Oglas Broj: 3231234,3231234,"4 Mar, 2024","17 Mar, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€650,1,65 m2,ID 1469,Peters Group Real Estate,ME,+382 68183213,+382 68183213Oglas Broj: 3230651,3230651,"3 Mar, 2024","6 Mar, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,Rista Lekica 5 Bar,2000,1,61 m2,"Izdajem na duzi period jednosoban stan 62 m2 u Baru Rista Lekica. Potpuno opremljen, lijep namjestaj i raspored prostorija. Cijena 450 eura mjesecno plus depozit u visini mjesecne rente.",Milica,85000,ME,067640417,067640417Oglas Broj: 3192927,3192927,"27 Jan, 2024","27 Jan, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,"Ul Popa Dukljanina 2, Bar",€300,1,1,35 m2,100,NE vršite IBAN uplate,Izdajem na duži period namješten stan u strogom centru Bara. Kontakt telefon 067506261.,Nekretnine Bar,Račun nije verificiran.,067412690Oglas Broj: 3264634,3264634,"9 Apr, 2024","9 Apr, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€300,1,1,35 m2,NE vršite IBAN uplate,"Izdajem manji jednosoban stan u strogom centru Bara.Stan ima 35 m2,opremljen je i izdaje se na duzi vremenski period.Cena 300 eura.",Nina,Račun nije verificiran.,068651816Oglas Broj: 3263241,3263241,"7 Apr, 2024","10 Apr, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,Bar,€350,NE vršite IBAN uplate,Garsonjera se nalazi iza Cakan sporta na kriznom toku,Dragana,Račun nije verificiran.,0038267040741,0038267040741Oglas Broj: 3262987,3262987,"6 Apr, 2024","6 Apr, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€500,1,1,56 m2,NE vršite IBAN uplate,"Izdajem jednosoban stan u Baru,strogi centar grada.Stan ima 56 m2 nalazi se u zgradi Radio Bara,izdaje se na duzi vremenski period.Cena 500 eura.Vise info na tel.068 651 816",Nina,Račun nije verificiran.,068651816Oglas Broj: 3245497,3245497,"20 Mar, 2024","10 Apr, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,"Bar, Crna Gora",Izuzeto od certificiranja,€700,1,1,57 m2,"Izdaje se jednosoban namješten stan, površine 57m2, u centru Bara.","ulazni hodnik, dnevni boravak sa trpezarijom i kuhinjom, terasa sa pogledom na more, kupatilo.",multitasknekretnine.me/,Multitask Nekretnine,03286932,ME,+382 68 028 219,+382 68 028 419Oglas Broj: 3148636 (6688),3148636 (6688),"22 Nov, 2023","22 Nov, 2023",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,600€,1,1,51 m2,1,NE vršite IBAN uplate,"Izdaje se na duži vremenski period luksuzno namješten jednosoban stan od 51m2, koji se nalazi u strogom centru Bara, prekoputa Zelene pijace. Pozicioniran je na četvrtom spratu u zgradi koja ima lift i redovno održavanje. Dostupan veliki parking.",A 043,Manzil Home,Račun nije verificiran.,+38268012666,+38268012666Oglas Broj: 3228276,3228276,"29 Feb, 2024","29 Feb, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€600,2,2,Izdaje se lijepo namješten dvosoban duplex stan u centru Bara.,"hodnik, dnevna soba, trpezarija, kuhinja, spavaća soba i kupatilo. Na 2. nivou je velika spavaća soba, galerija sa koje se pruža prelijep pogled ka moru, toalet i dvije manje prostorije koje se mogu korititi kao ostave.","prodavnice, banke, škole, kafići...",teamrealestate.me/me/details/63/,TEAM,ME,+382 67 177 966Oglas Broj: 3133568 (63),3133568 (63),"31 Oct, 2023","31 Oct, 2023",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,Bar,€450,1,1,40 m2,NE vršite IBAN uplate,Izdaje se jednosoban stan kod Ribarnice u Makedonskom naselju.,prva kirija + depozit,Dragana,Račun nije verificiran.,0038267040741,0038267040741Oglas Broj: 3212658,3212658,"12 Feb, 2024","12 Feb, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,Bar,€300,1,1,40 m2,NE vršite IBAN uplate,Izdaje se jednosoban stan kod Bomako marketa u Baru.,Dragana,Račun nije verificiran.,0038267040741,0038267040741Oglas Broj: 3211576,3211576,"11 Feb, 2024","11 Feb, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,Bar Bartula,€500,2,1,100 m2,NE vršite IBAN uplate,"Izdaje se dvosoban stan na spratu od kuce, naselje Bartula. Stan je povrsine 100m2 + 20m2 terasa.",prva kirija + depozit,Dragana,Račun nije verificiran.,0038267040741,0038267040741Oglas Broj: 3197028,3197028,"31 Jan, 2024","31 Jan, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Poslovni Prostor za Duži Najam,Bar,Bar Centar,€450,1,45 m2,"Izdajem Poslovni prostor u makedonskom naselju u Baru na veoma dobroj i prometnoj lokaciji, pogodan za sve namjene. Objekat ima 2 prostorije koje su spojene ali se lako mogu odvojiti sa 2 zasebna ulaza.",,//maps.app.goo.gl/dkwrDyye5EAEWRJh9,Albatros Real Estate,ME,+38269402664,+38268227277Oglas Broj: 3256272,3256272,"28 Mar, 2024","28 Mar, 2024",Duzi Najam Bar Centar | Duzi Najam Poslovnih Prostora Bar Centar | Duzi Najam Bar | Duzi Najam Poslovnih Prostora Bar
Stan-Apartman za Duži Najam,Bar,Bar Centar,€900,2,1,80 m2,"Izdajem moderno opremljen stan na odličnoj lokaciji u strogom centru grada. Stan se izdaje kao na slikama i posjeduje prostran dnevni boravak, kuhinju, trpezariju, dvije spavaće sobe, kupatilo i terasu.",,//maps.app.goo.gl/dkwrDyye5EAEWRJh9,Albatros Real Estate,ME,+38269402664,+38268227277Oglas Broj: 3238015,3238015,"12 Mar, 2024","12 Apr, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,€500,1,1,40 m2,1,"Izdajem moderno opremljen stan u Soho city zgradi. Stan posjeduje dnevni boravak, kuhinju, trpezariju, spavaću sobu, kupatilo i terasu sa prelijepim pogledom. Parking ispred zgrade.",,//maps.app.goo.gl/dkwrDyye5EAEWRJh9,Albatros Real Estate,ME,+38269402664,+38268227277Oglas Broj: 3233920,3233920,"7 Mar, 2024","8 Apr, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Stan-Apartman za Duži Najam,Bar,Bar Centar,Ulica Branka Calovica broj 4 Bar Centar,Izuzeto od certificiranja,€600,2014,1,1,52 m2,300,"Izdajem jednosoban stan u centru Bara u Ulici Marsala Tita na 4om spratu u zgradi sa liftom. Stan se izdaje kao na slikama i moderno je sredjen sa novim lux stvarima. Ima masinu za ves, masinu za sudje i masinu za susenje vesa. Ljubimci su dozvoljeni i notarski ugovor je ukljucen u cijenu.",,//maps.app.goo.gl/dkwrDyye5EAEWRJh9,Albatros Real Estate,ME,+38269402664,+38268227277Oglas Broj: 3244062,3244062,"19 Mar, 2024","23 Mar, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
Poslovni Prostor za Duži Najam,Bar,Bar Centar,Makedonsko BB Bar,Izuzeto od certificiranja,€600,1,48 m2,1000,Izdajem poslovni prostor u Makedonskom preko puta Idea marketa. Lokal ima 48m2 unutrasnje povrsine i 20m2 pokrivene terase. Terasa se placja dodatno opstini na godisnjem nivou.,,//maps.app.goo.gl/dkwrDyye5EAEWRJh9,Albatros Real Estate,ME,+38269402664,+38268227277Oglas Broj: 3211543,3211543,"11 Feb, 2024","12 Apr, 2024",Duzi Najam Bar Centar | Duzi Najam Poslovnih Prostora Bar Centar | Duzi Najam Bar | Duzi Najam Poslovnih Prostora Bar
Stan-Apartman za Duži Najam,Bar,Bar Centar,€600,1,1,40 m2,200,"Izdajem jednosoban stan od 40m2 na trećem spratu stambene zgrade. Stan se sastoji od dnevnog boravka, kuhinje, spavaće sobe, hodnika i kupatila. Prelijepo i moderno je uređen. U potpunosti je opremljen. Zgrada posjeduje lift i parking mjesto.",,//maps.app.goo.gl/dkwrDyye5EAEWRJh9,Albatros Real Estate,ME,+38269402664,+38268227277Oglas Broj: 3210706,3210706,"10 Feb, 2024","12 Apr, 2024",Duzi Najam Bar Centar | Duzi Najam Stanova Bar Centar | Duzi Najam Bar | Duzi Najam Stanova Bar | Apartmani Bar Privatni Smještaj
